Kp_real;Bz_GSM;Density;Speed;Magnitud_IMF
3,333;-0,804072901;0,15097872;1,28452604;0,445905767
3,333;-1,142341747;0,090558651;1,324198032;0,248713662
3,333;-0,973207324;-0,010141464;1,28452604;0,018656206
3,667;0,007772329;-0,271961762;1,155592066;0,15011761
3,667;-0,905553555;-0,090701556;1,195264058;0,314444364
3,667;-1,31147617;-0,271961762;1,18534606;-0,047074495
2,667;-0,398150286;-0,3928019;1,036576091;-0,2442666
2,667;-0,567284709;-0,332381831;1,096084079;-0,408593354
2,667;-0,49963094;-0,251821739;1,066330085;-0,211401249
2,333;-0,12753521;-0,090701556;0,947314109;-0,770112212
2,333;0,041599213;-0,130981602;0,89772412;-0,572920108
2,333;-0,533457825;-0,130981602;0,947314109;-0,277131951
2,333;-0,195188979;-0,070561533;0,917560115;-0,507189406
2,333;-0,668765363;-0,070561533;0,907642118;-0,67151616
2,333;-0,093708325;-0,211541693;0,877888124;-0,342862652
0,03;0,278387406;-0,151121624;0,778708144;-0,375728003
0,03;-0,229015863;-0,151121624;0,709282158;-0,540054757
0,03;-0,567284709;-0,151121624;0,620020177;-0,67151616
0,02;-0,093708325;-0,271961762;0,580348185;-0,770112212
0,02;-0,431977171;-0,211541693;0,540676193;-0,770112212
0,02;-0,093708325;-0,231681716;0,540676193;-0,868708265
1,667;0,346041175;-0,231681716;0,530758195;-0,737246862
1,667;0,075426098;-0,211541693;0,391906224;-0,605785458
1,667;0,244560521;-0,251821739;0,421660218;-0,572920108
1,667;-0,026054556;-0,271961762;0,451414212;-0,868708265
1,667;-0,093708325;-0,352521854;0,401824222;-1,164496422
1,667;-0,465804055;-0,473361991;0,243136254;-1,131631071
2,333;-0,431977171;-0,412941922;0,044776295;-0,868708265
2,333;-0,770246017;-0,312241808;0,084448287;-0,868708265
2,333;-0,837899786;-0,171261647;0,034858297;-0,835842914
0,02;-1,007034209;-0,110841579;-0,044485686;-0,737246862
0,02;-1,142341747;-0,130981602;-0,094075676;-0,704381511
0,02;-0,905553555;-0,090701556;-0,262681641;-0,770112212
1,667;-0,837899786;-0,151121624;-0,302353633;-0,802977563
1,667;-0,736419132;-0,19140167;-0,232927648;-0,737246862
1,667;-1,142341747;-0,090701556;-0,213091652;-0,474324055
1,333;-1,480610593;0,030138582;-0,252763643;-0,342862652
1,333;-1,785052554;-0,130981602;-0,252763643;-0,112805197
1,333;-1,209995516;0,171118743;-0,292435635;-0,342862652
0,02;-0,804072901;0,15097872;-0,322189629;-0,441458705
0,02;-0,668765363;-0,010141464;-0,361861621;-0,309997301
0,02;-0,05988144;-0,030281487;-0,411451611;-0,211401249
0,333;0,143079867;0,171118743;-0,441205605;-0,211401249
0,333;-0,026054556;0,15097872;-0,51063159;-0,079939846
0,333;0,549002482;0,050278605;-0,401533613;0,380175065
0,667;0,75196379;0,412799018;-0,371779619;0,413040416
0,667;0,819617559;-0,010141464;-0,332107627;0,544501819
0,667;0,549002482;0,352378949;-0,451123603;0,281579013
0,333;-0,05988144;0,392658995;-0,540385584;0,215848311
0,333;-0,093708325;0,271818857;-0,490795594;0,248713662
0,333;0,109252983;0,392658995;-0,490795594;0,15011761
1,667;-0,533457825;0,654479293;-0,421369609;-0,079939846
1,667;-0,296669633;1,157979866;-0,480877596;-0,047074495
1,667;-0,465804055;2,044140875;-0,441205605;-0,014209144
0,02;0,379868059;3,272682273;-0,322189629;0,511636468
0,02;-0,49963094;4,440803603;-0,332107627;-0,047074495
0,02;1,631462789;2,869881815;-0,094075676;1,136078133
3,667;-1,615918131;1,500360256;0,243136254;1,563327693
3,667;-1,31147617;1,520500279;0,471250207;0,314444364
3,667;-0,973207324;1,218399935;0,431578216;-0,178535898
2,667;0,379868059;0,876019545;0,520840197;0,15011761
2,667;0,143079867;0,614199247;0,778708144;0,840289976
2,667;0,413694944;0,392658995;0,84813413;0,807424625
0,03;-0,770246017;0,050278605;0,907642118;0,675963222
0,03;-0,905553555;-0,171261647;0,996904099;0,478771117
0,03;0,413694944;-0,19140167;0,669610167;0,610232521
2,667;0,041599213;-0,010141464;0,461332209;0,544501819
2,667;-1,040861093;0,030138582;0,282808246;0,807424625
2,667;-0,567284709;-0,070561533;0,253054252;1,070347431
2,667;0,785790674;-0,030281487;0,084448287;0,906020678
2,667;-0,398150286;0,130838697;-0,133747668;0,774559274
2,667;-0,05988144;0,271818857;-0,163501662;0,643097871
0,01;-0,05988144;0,63433927;-0,084157678;0,57736717
0,01;0,549002482;0,896159568;-0,133747668;0,511636468
0,01;0,582829367;1,157979866;-0,133747668;0,511636468
1,667;0,582829367;1,520500279;-0,183337658;0,544501819
1,667;0,921098213;3,393522411;-0,342025625;0,413040416
1,667;0,988751982;4,682483878;-0,312271631;1,826250499
1,333;0,31221429;1,883020691;-0,292435635;2,68074962
1,333;0,819617559;0,533639155;0,094366285;2,023442604
1,333;-0,195188979;-0,090701556;0,282808246;1,990577253
0,02;0,515175598;0,171118743;0,372070228;1,300404887
0,02;1,056405751;0,030138582;0,441496214;1,366135588
0,02;0,346041175;-0,171261647;0,709282158;1,366135588
2,333;0,109252983;-0,151121624;0,838216132;1,530462342
2,333;1,597635904;-0,151121624;0,659692169;1,891981201
2,333;0,684310021;0,15097872;0,788626142;1,43186629
2,333;0,819617559;0,231538811;0,877888124;0,971751379
2,333;0,921098213;0,009998559;0,79854414;0,675963222
2,333;-0,05988144;0,211398788;0,808462138;0,413040416
3,667;0,075426098;0,110698674;0,768790146;0,248713662
3,667;-0,364323402;0,110698674;0,808462138;0,051521557
3,667;-0,533457825;-0,030281487;0,669610167;0,544501819
3,333;0,515175598;-0,211541693;0,639856173;0,873155327
3,333;-0,229015863;-0,130981602;0,739036152;0,971751379
3,333;-0,770246017;-0,211541693;0,778708144;1,037482081
3,333;-0,668765363;-0,231681716;0,828298134;0,906020678
3,333;-1,209995516;-0,110841579;0,887806122;1,037482081
3,333;-1,040861093;0,130838697;0,907642118;1,136078133
3,333;0,143079867;0,251678834;0,887806122;1,300404887
3,333;-0,229015863;0,735039384;1,106002077;0,544501819
3,333;-0,026054556;0,815599476;1,115920075;0,084386908
0,02;1,056405751;0,473219086;0,947314109;0,018656206
0,02;0,988751982;0,050278605;0,74895415;0,215848311
0,02;0,379868059;-0,473361991;0,937396111;0,051521557
0,02;1,293193943;-0,493502014;1,016740095;0,380175065
0,02;-0,634938478;-0,634482175;1,532475989;0,215848311
0,02;-0,026054556;-0,3928019;1,552311985;0,018656206
0,03;0,346041175;-0,070561533;1,939113905;0,741693924
0,03;0,684310021;0,030138582;2,187063854;0,478771117
0,03;0,447521829;-0,473361991;2,633373762;0,906020678
3,667;0,007772329;-0,151121624;2,920995703;1,333270238
3,667;-0,465804055;0,171118743;2,792061729;1,267539536
3,667;0,007772329;0,211398788;2,653209758;1,300404887
3,667;-0,431977171;0,231538811;2,514357786;1,168943484
3,667;-0,770246017;-0,171261647;2,59370177;1,201808835
3,667;-0,262842748;-0,211541693;2,375505815;1,366135588
0,04;-0,026054556;-0,271961762;2,246571842;1,234674185
0,04;-1,379129939;-0,574062106;2,64329176;0,938886028
0,04;-0,533457825;-0,856022427;2,772225733;-0,178535898
3,667;-0,296669633;-0,815742381;2,811897725;-0,2442666
3,667;-0,330496517;-0,755322312;2,871405713;-0,474324055
3,667;0,143079867;-0,735182289;3,059847674;-0,474324055
3,667;0,007772329;-0,735182289;2,950749696;-0,441458705
3,667;0,278387406;-0,735182289;3,188781647;-0,342862652
3,667;-0,12753521;-0,775462335;2,821815723;-0,375728003
2,667;0,210733636;-0,795602358;2,792061729;-0,474324055
2,667;0,176906752;-0,775462335;2,722635743;-0,375728003
2,667;-0,12753521;-0,815742381;2,514357786;-0,277131951
2,333;0,041599213;-0,815742381;2,464767797;-0,211401249
2,333;-0,05988144;-0,856022427;2,69288175;-0,309997301
2,333;0,143079867;-0,896302473;2,375505815;-0,408593354
2,667;-0,229015863;-0,835882404;2,524275784;-0,309997301
2,667;-0,093708325;-0,835882404;2,742471739;-0,2442666
2,667;0,684310021;-0,856022427;2,563947776;-0,277131951
2,667;0,176906752;-0,87616245;2,49452179;-0,277131951
2,667;0,041599213;-0,835882404;2,504439788;-0,309997301
2,667;0,109252983;-0,775462335;2,603619768;-0,342862652
2,667;0,210733636;-0,755322312;2,563947776;-0,441458705
2,667;0,041599213;-0,715042266;2,623455764;-0,605785458
2,667;-0,026054556;-0,735182289;2,583783772;-0,474324055
0,03;0,244560521;-0,755322312;2,504439788;-0,342862652
0,03;0,176906752;-0,735182289;2,49452179;-0,277131951
0,03;-0,12753521;-0,735182289;2,534193782;-0,277131951
3,667;-0,330496517;-0,755322312;2,613537766;-0,309997301
3,667;-0,026054556;-0,775462335;2,375505815;-0,408593354
3,667;0,109252983;-0,795602358;2,286243833;-0,277131951
0,03;0,176906752;-0,835882404;2,415177807;-0,342862652
0,03;-0,398150286;-0,835882404;2,990421688;-0,67151616
0,03;-0,601111594;-0,856022427;3,069765672;-0,540054757
